RESPONSE_ID,AGE,GENDER,RACE,EDUCATION,PROFESSION,APPS_USED,FREQUENCY_OF_USE,DURATION_OF_USE,MODALITY,USE_CASES,USE_CASES_MORE_DETAILS,DELETE_HISTORY_AWARE,EXPORT_CHAT_AWARE,OPT_OUT_AWARE,BEHAVIOURS_ENGAGED,SHARE_PII,SHARE_DEMOGRAPHICS,SHARE_SEXUAL_ORIENTATION,SHARE_BANKING,SHARE_CREDIT_SCORE,SHARE_PURCHASES,SHARE_RELIGION,SHARE_HOBBIES,SHARE_PERSONAL_LIFE,SHARE_HEALTH,SHARE_PHOTOS,SHARE_WORK,TRAINING_EXPECTATIONS,DELETE_CHATS_LOSE_ACCESS,DELETE_CHATS_ERASURE,DELETE_CHATS_UNLEARN,DELETE_ACCOUNT_LOSE_ACCESS,DELETE_ACCOUNT_DATA_ERASURE,DELETE_ACCOUNT_CHAT_ERASURE,DELETE_ACCOUNT_UNLEARN,TRAINING_AWARE,TRAINING_CONCERN,TRAINING_POSSIBLE,DEV_ACCESS_AWARE,DEV_ACCESS_CONCERNED,DEV_ACCESS_POSSIBLE,LEGAL_ACCESS_AWARE,LEGAL_ACCESS_CONCERN,LEGAL_ACCESS_POSSIBLE,HEALTH_AWARE,HEALTH_CONCERN,HEALTH_POSSIBLE,FINANCE_AWARE,FINANCE_CONCERN,FINANCE_POSSIBLE,EXTRACTION_AWARE,EXTRACTION_CONCERN,EXTRACTION_POSSIBLE,LEAK_AWARE,LEAK_CONCERN,LEAK_POSSIBLE,MEM_AWARE,MEM_CONCERN,MEM_POSSIBLE,EXTENSION_AWARE,EXTENSION_CONCERN,EXTENSION_POSSIBLE,DECEPTION_AWARE,DECEPTION_CONCERN,DECEPTION_POSSIBLE,Challenges,Solutions
R_2H6Rro20xbiAGaX,25 - 34,Man,White,Bachelor's degree,Data Analyst,ChatGPT,Daily,More than a year,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history",Not at all willing,Slightly willing,Slightly willing,Not at all willing,Slightly willing,Not at all willing,Slightly willing,Slightly willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Quite concerned,Yes,Yes,Very concerned,Yes,Yes,Moderately concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Quite concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,,
R_82DshoK62hLpCsl,18-24,Woman,White and Asian,Master's degree,Administration,ChatGPT,Monthly,More than a year,Desktop/Web app,"Personal admin (e.g., job applications, personal emails)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them",Not at all willing,Quite willing,Quite willing,Not at all willing,Slightly willing,Quite willing,Quite willing,Quite willing,Quite willing,Quite willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,This will never happen,This will never happen,Immediately,This will never happen,This will never happen,Within a few months,Yes,A little concerned,Yes,Yes,Not at all concerned,Yes,Yes,Quite concerned,Yes,Yes,Not at all concerned,Yes,Yes,Not at all concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Quite concerned,Yes,The user needs to understand that there is a fundamental lack of privacy by design of AI chatbots which are for general purpose.,"No, the purpose of using chatbots (aside from conveniently generating information for the user) is for it to continuously learn from the interactions. The user pays the price of privacy when using chatbots at the gain of conveniently presented data. This is up to the user, but informed consent for this is paramount."
R_2D8NfluvYjhsGgB,45 - 54,Woman,White,Bachelor's degree,administrator,ChatGPT,Weekly,3 - 6 months,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them",Not at all willing,Quite willing,Quite willing,Not at all willing,Moderately willing,Moderately willing,Moderately willing,Quite willing,Moderately willing,Slightly willing,Slightly willing,Quite willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Within a few days,Immediately,Immediately,Immediately,Immediately,Yes,Not at all concerned,Yes,Yes,A little concerned,Yes,No,Quite concerned,Yes,No,A little concerned,Yes,Yes,Quite concerned,No,No,Quite concerned,Yes,Yes,Very concerned,Yes,No,A little concerned,Yes,Yes,Very concerned,No,No,Moderately concerned,No,no,I think there is always a danger of leaks as technology continually evolves
R_2AKhJgSTg8ry90Z,18-24,Man,White,A-Level or equivalent,Yard Manager,"ChatGPT,Character.AI",Weekly,More than a year,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them",Slightly willing,Very willing,Very willing,Not at all willing,Moderately willing,Slightly willing,Moderately willing,Very willing,Slightly willing,Slightly willing,Not at all willing,Very willing,My data will continue to be used to train models.,Immediately,Immediately,This will never happen,Immediately,This will never happen,Within a few years,This will never happen,Yes,A little concerned,Yes,Yes,Moderately concerned,Yes,Yes,Not at all concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,No,A little concerned,No,Yes,Moderately concerned,Yes,Yes,Not at all concerned,Yes,Yes,Quite concerned,Yes,Yes,Quite concerned,Yes,AI is just the next thing to take more privacy away from people who have very little privacy already.,More Laws around AI & The use of it.
R_8GE9DuLEJrnsqoj,25 - 34,Man,White,Bachelor's degree,Engineer ,ChatGPT,Monthly,1 - 3 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports)",,Was not aware,Was not aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source,Opted out of my chat history being used to train models",Slightly willing,Slightly willing,Moderately willing,Not at all willing,Slightly willing,Not at all willing,Slightly willing,Moderately willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,No,Quite concerned,Yes,No,A little concerned,No,No,Moderately concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,No,No,Moderately concerned,No,No,A little concerned,Yes,No,A little concerned,No,N/A,No
R_2GBvVVuIUFfsEoG,25 - 34,Woman,turkish,Bachelor's degree,engineer,"ChatGPT,Google Gemini/Bard",Daily,More than a year,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails)",,Was not aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source",Slightly willing,Moderately willing,Quite willing,Not at all willing,Moderately willing,Quite willing,Quite willing,Moderately willing,Slightly willing,Slightly willing,Slightly willing,Slightly willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Within a few months,Within a few weeks,Within a few days,Within a few years,Within a few months,Within a few years,Within a few weeks,Yes,A little concerned,Yes,No,A little concerned,Yes,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Quite concerned,Yes,Yes,Moderately concerned,Yes,No,Quite concerned,Yes,Yes,A little concerned,No,No,Very concerned,No,nothing,i didnt realize
R_8Wumu7NB8EuRNQQ,25 - 34,Man,Black,Master's degree,Advisor,ChatGPT,Monthly,3 - 6 months,"Mobile app,Plugin/Browser extension","Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was not aware,Was not aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source",Not at all willing,Slightly willing,Quite willing,Not at all willing,Not at all willing,Slightly willing,Moderately willing,Quite willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Within a few weeks,Within a few weeks,Within a few months,Immediately,Within a few days,Within a few days,Within a few days,Yes,A little concerned,Yes,Yes,Quite concerned,Yes,Yes,A little concerned,Yes,Yes,Quite concerned,Yes,Yes,Moderately concerned,Yes,Yes,A little concerned,Yes,Yes,A little concerned,Yes,Yes,Quite concerned,Yes,Yes,Very concerned,Yes,Yes,A little concerned,Yes,Not knowing how it will develop in the future,New laws need to be implemented to adapt to this advancement in technology
R_2qcq95figjbIoWB,45 - 54,Woman,White,High school,Administration ,ChatGPT,Monthly,6 - 12 months,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Information or advice about personal topics (e.g., health, finances, relationships)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source",Moderately willing,Moderately willing,Moderately willing,Not at all willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,No,Moderately concerned,Yes,No,A little concerned,Yes,Yes,Moderately concerned,Yes,No,Moderately concerned,No,Yes,Moderately concerned,Yes,No,Moderately concerned,Yes,No,Moderately concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,Yes,Yes,Moderately concerned,Yes,,
R_838ZjTyyhXZ0iQz,35 - 44,Woman,White,A-Level or equivalent,Health and Social care Trainer.,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing",Weekly,3 - 6 months,"Desktop/Web app,Plugin/Browser extension","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships)",,Was not aware,Was not aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source",Moderately willing,Very willing,Very willing,Not at all willing,Very willing,Very willing,Very willing,Very willing,Very willing,Very willing,Moderately willing,Moderately willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,Yes,Not at all concerned,Yes,Yes,Not at all concerned,Yes,No,Not at all concerned,Yes,No,Very concerned,No,No,Very concerned,No,No,Very concerned,No,Yes,Very concerned,Yes,No,Not at all concerned,Yes,No,Very concerned,Yes,No,Very concerned,No,n/a,I use extensive cybersecurity and anti-virus to prevent this. 
R_2uyW4VSQyZvSBIB,35 - 44,Woman,White,Bachelor's degree,Tech Director,"ChatGPT,Microsoft Copilot/Bing",Daily,6 - 12 months,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Exported or made a backup of my chat history,Opted out of my chat history being used to train models",Not at all willing,Moderately willing,Quite willing,Not at all willing,Not at all willing,Slightly willing,Quite willing,Moderately willing,Moderately willing,Quite willing,Slightly willing,Quite willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Very concerned,Yes,Yes,Moderately concerned,Yes,Yes,Quite concerned,Yes,No,A little concerned,No,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Very concerned,Yes,Yes,Moderately concerned,No,Yes,A little concerned,No,Yes,A little concerned,Yes,Unclear what is and isnt shared outwardly,Clear direction on the above
R_8Pvwo9F5KdveFOI,35 - 44,Woman,White,Bachelor's degree,Line manager,"ChatGPT,Character.AI",Weekly,3 - 6 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was not aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Exported or made a backup of my chat history",Moderately willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Slightly willing,Moderately willing,Moderately willing,Slightly willing,Moderately willing,Slightly willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Not at all concerned,Yes,Yes,Very concerned,Yes,No,Very concerned,Yes,Yes,Very concerned,Yes,No,Quite concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,No,Quite concerned,Yes,No,Very concerned,Yes,Yes,Very concerned,Yes,I am lacking trust in companies,we need more regulations
R_2pPryniEEEIfZbM,25 - 34,Man,White,High school,Mould shop technician ,ChatGPT,Monthly,6 - 12 months,Desktop/Web app,"Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships)",,Was not aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Exported or made a backup of my chat history",Not at all willing,Moderately willing,Very willing,Not at all willing,Moderately willing,Slightly willing,Moderately willing,Moderately willing,Slightly willing,Not at all willing,Moderately willing,Moderately willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,Yes,Not at all concerned,Yes,Yes,A little concerned,Yes,Yes,Quite concerned,Yes,Yes,A little concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Quite concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Not knowing what is going on behind the scenes at these companies. ,VPN probably and just not sharing too much. 
R_8H2HJ9tDOcSF6Ww,55+,Man,White,High school,Retired,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing",Weekly,3 - 6 months,Desktop/Web app,"Information or advice about general topics (world events, recipes, trivia, etc.)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Exported or made a backup of my chat history",Not at all willing,Moderately willing,Slightly willing,Not at all willing,Not at all willing,Not at all willing,Moderately willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Moderately willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,Immediately,Immediately,Within a few days,Immediately,Immediately,Yes,Not at all concerned,Yes,Yes,A little concerned,Yes,No,Not at all concerned,Yes,No,A little concerned,Yes,No,Quite concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,Yes,No,Very concerned,Yes,Avoiding revealing information,I try not to use them whenever possible. 
R_8DNAjOWODS5oFV4,35 - 44,Woman,White,Bachelor's degree,medical researcher,"ChatGPT,Github Copilot",Monthly,6 - 12 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports)",,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Deleted/cleared my chat history,Opted out of my chat history being used to train models",Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Quite willing,Quite willing,Quite willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Not at all concerned,Yes,No,Quite concerned,No,No,Very concerned,No,Yes,Not at all concerned,Yes,No,Quite concerned,Yes,No,A little concerned,Yes,No,Quite concerned,Yes,Yes,Moderately concerned,Yes,No,Moderately concerned,Yes,No,Not at all concerned,Yes,"no, but I am very privacy aware and do not share any personal details",clearer information about where your information is stored and who can access it
R_8th4An8tm57ASRz,25 - 34,Man,Black,Bachelor's degree,studying,"ChatGPT,Microsoft Copilot/Bing",Weekly,3 - 6 months,"Desktop/Web app,Application Programming Interface (API)","Work or job-related tasks (e.g., analysing data, generating reports)",,Was aware,Was aware,Was aware,Read the privacy policy/terms of use of the chatbot,Not at all willing,Moderately willing,Slightly willing,Not at all willing,Moderately willing,Moderately willing,Moderately willing,Slightly willing,Moderately willing,Not at all willing,Not at all willing,Moderately willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,This will never happen,Immediately,Within a few years,Immediately,This will never happen,Yes,Moderately concerned,Yes,Yes,Quite concerned,Yes,Yes,Moderately concerned,Yes,No,Very concerned,Yes,Yes,Moderately concerned,Yes,Yes,Not at all concerned,No,No,Moderately concerned,Yes,Yes,Quite concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,No,Depends on the certain phrases or trigger words that flag an internal system in AI chatbots,More regulation and laws.
R_2IMzioQzQTM8uat,45 - 54,Man,White,Master's degree,it security analyst,"ChatGPT,Microsoft Copilot/Bing",Weekly,6 - 12 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports)",,Was not aware,Was not aware,Was aware,Read the privacy policy/terms of use of the chatbot,Slightly willing,Quite willing,Quite willing,Not at all willing,Moderately willing,Quite willing,Very willing,Quite willing,Not at all willing,Quite willing,Quite willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,Yes,Not at all concerned,Yes,No,Not at all concerned,No,No,Not at all concerned,Yes,Yes,Quite concerned,Yes,Yes,Moderately concerned,Yes,No,Not at all concerned,No,No,Quite concerned,Yes,No,Not at all concerned,Yes,No,A little concerned,No,No,Not at all concerned,Yes,,
R_8MyflbJLgDBe3gK,45 - 54,Man,White,Bachelor's degree,Online retailer,ChatGPT,Monthly,3 - 6 months,Desktop/Web app,"Information or advice about general topics (world events, recipes, trivia, etc.)",,Was not aware,Was aware,Was aware,Read the privacy policy/terms of use of the chatbot,Moderately willing,Very willing,Very willing,Not at all willing,Moderately willing,Moderately willing,Very willing,Quite willing,Slightly willing,Quite willing,Slightly willing,Slightly willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Not at all concerned,Yes,No,Moderately concerned,Yes,Yes,Quite concerned,Yes,Yes,Quite concerned,Yes,No,Quite concerned,Yes,No,Quite concerned,No,Yes,Quite concerned,Yes,No,Quite concerned,Yes,No,Moderately concerned,Yes,Yes,Very concerned,Yes,No,
R_2EHbIwk48tXwHgE,45 - 54,Woman,White,Bachelor's degree,Teacher,ChatGPT,Monthly,1 - 3 months,"Desktop/Web app,Mobile app","Personal admin (e.g., job applications, personal emails)",,Was aware,Was not aware,Was aware,"Read about how AI chatbots handle user data from another source,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Quite willing,Quite willing,Quite willing,Not at all willing,Moderately willing,Moderately willing,Quite willing,Quite willing,Moderately willing,Quite willing,Moderately willing,Quite willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Within a few weeks,This will never happen,This will never happen,This will never happen,Within a few weeks,Within a few months,Within a few months,No,Moderately concerned,Yes,Yes,Not at all concerned,Yes,No,A little concerned,No,No,Very concerned,No,Yes,A little concerned,Yes,Yes,Moderately concerned,Yes,Yes,Quite concerned,No,Yes,Not at all concerned,Yes,Yes,Not at all concerned,Yes,Yes,Quite concerned,Yes,It does worry me as we don’t know who’s behind the AI and using the data entered ,I’m not sure but this needs to be looked at 
R_2ph8l7AIIN68SKq,35 - 44,Woman,Latino,Bachelor's degree,Student MSC in management with sustainability,"ChatGPT,Google Gemini/Bard",Monthly,More than a year,Desktop/Web app,"Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.)",,Was not aware,Was not aware,Was aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Opted out of my chat history being used to train models",Not at all willing,Quite willing,Quite willing,Not at all willing,Not at all willing,Slightly willing,Slightly willing,Moderately willing,Slightly willing,Moderately willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Within a few days,This will never happen,Immediately,Within a few days,Within a few days,This will never happen,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,A little concerned,Yes,Yes,Quite concerned,Yes,No,Quite concerned,Yes,No,A little concerned,No,No,Quite concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,Yes,No,Moderately concerned,No,"I don't read in full the terms and conditions because they are too long, but I should read it with more detail",Deleting the history and not authorising the AI chatbot to use my information for training
R_2ncPHcAE645La8m,25 - 34,Non-binary,White,A-Level or equivalent,Data Architect,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing,Github Copilot",Weekly,6 - 12 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails)",,Was aware,Was aware,Was aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history,Opted out of my chat history being used to train models,Created an anonymous email and/or pseudonym to use an AI chatbot so that my chats are not linked to me",Not at all willing,Moderately willing,Quite willing,Not at all willing,Moderately willing,Not at all willing,Moderately willing,Quite willing,Slightly willing,Slightly willing,Not at all willing,Quite willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Within a few days,This will never happen,Immediately,Within a few days,Within a few days,This will never happen,Yes,Not at all concerned,Yes,Yes,Moderately concerned,Yes,Yes,Not at all concerned,Yes,Yes,Very concerned,Yes,No,Very concerned,Yes,Yes,Moderately concerned,Yes,Yes,Quite concerned,Yes,Yes,Not at all concerned,Yes,Yes,Not at all concerned,Yes,No,Not at all concerned,Yes,,
R_8WZOuAFYGvIv2kV,35 - 44,Man,White,A-Level or equivalent,Business analyst,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing,Character.AI",Weekly,More than a year,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was aware,Was aware,Was aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history,Opted out of my chat history being used to train models",Not at all willing,Moderately willing,Quite willing,Not at all willing,Moderately willing,Moderately willing,Quite willing,Quite willing,Quite willing,Quite willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,Yes,A little concerned,Yes,Yes,Moderately concerned,Yes,Yes,Very concerned,Yes,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,No,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Quite concerned,Yes,Yes,Very concerned,Yes,No,A little concerned,Yes,No,No
R_8xG0l0qvNcaDh0X,35 - 44,Man,Black,Bachelor's degree,Creative,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing",Weekly,6 - 12 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was aware,Was aware,Was aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history,Opted out of my chat history being used to train models",Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Moderately willing,Moderately willing,Moderately willing,Not at all willing,Slightly willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Quite concerned,Yes,Yes,Very concerned,Yes,No,Very concerned,No,No,A little concerned,No,Yes,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Very concerned,Yes,No,A little concerned,No,None,Do not reveal personal and identifiable information about yourself
R_2kLZlyrouaENcO6,25 - 34,Woman,White,Master's degree,Data Analyst,"ChatGPT,Github Copilot",Monthly,6 - 12 months,"Desktop/Web app,Application Programming Interface (API)","Work or job-related tasks (e.g., analysing data, generating reports)",,Was aware,Was aware,Was aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them",Slightly willing,Moderately willing,Moderately willing,Not at all willing,Not at all willing,Slightly willing,Moderately willing,Quite willing,Moderately willing,Slightly willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,A little concerned,Yes,No,A little concerned,Yes,Yes,Not at all concerned,Yes,Yes,Quite concerned,Yes,No,Quite concerned,Yes,No,A little concerned,Yes,No,Moderately concerned,Yes,Yes,Quite concerned,Yes,No,Quite concerned,Yes,No,A little concerned,Yes,I am quite guarded in information provided however other people may not be and are at greater risk,Not having to provide personal details
R_8YunfE3TVJMk7yB,25 - 34,Woman,White,A-Level or equivalent,,"ChatGPT,Character.AI",Monthly,1 - 3 months,Mobile app,"Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was not aware,Was not aware,Was aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them",Not at all willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,Slightly willing,Slightly willing,Moderately willing,Slightly willing,Not at all willing,Not at all willing,Not at all willing,My data will continue to be used to train models.,Immediately,Immediately,This will never happen,Within a few days,Within a few weeks,Within a few days,Within a few years,Yes,Not at all concerned,Yes,Yes,Moderately concerned,Yes,No,A little concerned,Yes,Yes,Very concerned,Yes,Yes,A little concerned,Yes,Yes,A little concerned,Yes,Yes,Moderately concerned,Yes,Yes,Very concerned,Yes,Yes,A little concerned,Yes,No,Not at all concerned,No,No,No
R_2kk0ZsUbpccBf3e,18-24,Woman,Asian,Master's degree,Laboratory scientist,"ChatGPT,Microsoft Copilot/Bing",Monthly,More than a year,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was not aware,Was aware,Was aware,"Read about how AI chatbots handle user data from another source,Opted out of my chat history being used to train models",Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Within a few months,Within a few months,Within a few months,Immediately,Immediately,Immediately,Immediately,Yes,Not at all concerned,Yes,No,Moderately concerned,Yes,Yes,Not at all concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,Yes,No,Moderately concerned,Yes,Yes,Quite concerned,Yes,No,A little concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,Yes,No,No
